House_ID,Region,Region_Factor,Area,Frontage,Road_Width,dist-center,Floors,Bedrooms,Bathrooms,yr-built,Price
VN_0310,Big_Province,1.0,116.6,4.2,3.3,4.3,2,2,1,2005,6.19
VN_0311,Big_Province,1.0,49.1,4.5,6.8,13.1,2,1,1,1989,2.23
VN_0312,Hanoi,8.0,56.5,3.0,2.0,9.5,3,1,1,2003,5.29
VN_0313,Hanoi,8.0,119.2,5.4,5.3,32.1,4,4,4,1996,5.23
VN_0314,Small_Province,0.25,55.0,3.0,4.7,30.0,1,2,2,1995,0.55
VN_0315,Small_Province,0.25,111.5,4.4,2.8,20.7,4,4,4,1996,0.69
VN_0316,Big_Province,1.0,44.6,3.0,3.5,18.7,1,1,1,1980,0.89
VN_0317,Big_Province,1.0,135.2,6.8,3.7,32.6,4,2,2,2000,2.3
VN_0318,HCMC,8.5,47.8,5.9,3.4,32.7,1,1,1,2022,2.22
VN_0319,HCMC,8.5,116.6,3.0,2.8,34.0,2,4,3,2001,4.11
VN_0320,HCMC,8.5,120.9,7.8,7.1,5.3,2,1,1,1984,27.2
VN_0321,Big_Province,1.0,62.4,9.2,8.6,6.5,2,3,1,2015,6.19
VN_0322,Small_Province,0.25,118.3,5.5,6.5,24.0,3,1,1,2000,1.37
VN_0323,Big_Province,1.0,100.7,4.0,2.9,19.4,3,3,3,1988,1.73
VN_0324,Big_Province,1.0,67.6,9.9,9.2,1.6,1,1,1,2006,13.37
VN_0325,Small_Province,0.25,53.4,3.0,2.0,3.1,1,1,1,1991,1.48
VN_0326,Small_Province,0.25,33.1,4.4,4.7,31.2,1,1,1,1997,0.37
VN_0327,Big_Province,1.0,105.3,5.6,4.5,30.5,2,5,4,2014,1.64
VN_0328,Big_Province,1.0,40.4,6.9,5.8,13.1,1,2,1,1994,1.65
VN_0329,Big_Province,1.0,92.8,5.7,4.9,31.3,2,3,1,2023,1.7
VN_0330,HCMC,8.5,77.5,4.0,2.0,21.2,2,1,1,2009,3.1
VN_0331,Big_Province,1.0,124.2,3.7,2.0,28.4,5,2,1,2024,1.09
VN_0332,Small_Province,0.25,76.0,4.3,3.4,15.5,2,3,3,2012,1.0
VN_0333,Hanoi,8.0,75.0,3.1,2.0,4.9,2,1,1,2015,9.71
VN_0334,Hanoi,8.0,127.5,5.6,5.4,15.7,3,3,2,2019,9.15
VN_0335,Hanoi,8.0,104.6,4.2,4.5,16.5,2,1,1,2009,7.21
VN_0336,Hanoi,8.0,103.6,3.0,2.7,19.7,3,2,1,2005,4.22
VN_0337,Small_Province,0.25,111.8,7.6,4.0,4.6,2,1,1,2000,3.75
VN_0338,Small_Province,0.25,41.0,3.6,4.8,34.7,3,1,1,2016,0.49
VN_0339,Big_Province,1.0,129.1,3.2,5.5,9.3,3,2,1,2022,5.57
VN_0340,Hanoi,8.0,120.1,5.1,4.1,7.8,2,3,3,2010,13.88
VN_0341,Big_Province,1.0,53.2,4.7,4.3,18.9,1,1,1,1996,1.18
VN_0342,Big_Province,1.0,78.3,3.0,2.6,19.3,2,3,3,1996,1.13
VN_0343,HCMC,8.5,86.7,5.6,5.0,16.0,3,4,3,2013,7.77
VN_0344,Big_Province,1.0,82.7,3.1,2.1,27.2,1,1,1,2003,0.94
VN_0345,Big_Province,1.0,104.5,8.3,6.2,18.6,2,1,1,2012,3.18
VN_0346,Big_Province,1.0,180.9,7.1,6.7,21.7,3,5,3,1983,3.49
VN_0347,Big_Province,1.0,151.9,5.1,7.3,25.6,3,1,1,1988,2.68
VN_0348,Hanoi,8.0,45.9,3.2,2.0,1.9,1,1,1,1981,9.38
VN_0349,Big_Province,1.0,120.7,5.2,3.8,20.4,2,1,1,2014,2.01
VN_0350,Big_Province,1.0,171.9,7.1,3.6,31.1,3,5,4,2017,2.17
VN_0351,Big_Province,1.0,107.3,5.2,6.3,1.6,2,3,1,2024,10.6
VN_0352,Small_Province,0.25,152.6,5.4,3.2,14.8,3,5,3,1994,1.34
VN_0353,Big_Province,1.0,241.9,7.0,3.0,32.5,5,5,4,2022,2.95
VN_0354,HCMC,8.5,147.6,4.6,4.4,13.0,4,2,2,2021,13.39
VN_0355,Hanoi,8.0,100.2,4.6,6.0,16.6,2,2,2,1982,8.26
VN_0356,Big_Province,1.0,149.1,3.0,3.2,34.4,3,2,1,2010,1.86
VN_0357,Hanoi,8.0,95.1,6.9,5.5,7.8,1,4,2,2020,14.58
VN_0358,Big_Province,1.0,89.5,5.6,4.8,3.2,2,6,5,2021,8.0
VN_0359,Small_Province,0.25,74.2,3.5,4.7,30.2,3,1,1,2002,0.72
VN_0360,Big_Province,1.0,193.3,9.7,6.0,30.5,3,5,4,1991,2.98
VN_0361,Big_Province,1.0,58.7,4.8,3.5,17.1,1,1,1,1987,1.39
VN_0362,Big_Province,1.0,190.3,4.4,2.6,18.5,5,5,5,2000,2.54
VN_0363,Big_Province,1.0,113.6,6.9,3.4,29.4,4,4,2,2000,1.34
VN_0364,Big_Province,1.0,43.9,5.2,3.4,26.1,2,1,1,2011,0.9
VN_0365,Small_Province,0.25,106.3,6.0,6.1,10.0,3,2,1,1996,2.25
VN_0366,Big_Province,1.0,30.9,3.6,3.5,1.6,1,2,1,2016,3.89
VN_0367,Small_Province,0.25,120.9,6.2,5.6,17.3,2,3,2,2003,1.41
VN_0368,Small_Province,0.25,137.7,5.1,4.1,30.2,3,3,2,1987,0.97
VN_0369,HCMC,8.5,65.8,5.8,5.1,31.5,2,2,2,1997,3.78
VN_0370,Hanoi,8.0,94.1,3.0,2.0,33.5,2,3,1,1990,2.1
VN_0371,Hanoi,8.0,235.0,6.0,4.0,30.9,2,7,4,1989,7.21
VN_0372,Hanoi,8.0,68.7,7.9,6.2,20.7,2,3,2,2005,5.76
VN_0373,Hanoi,8.0,52.1,3.2,2.8,16.1,2,1,1,1985,3.55
VN_0374,Big_Province,1.0,185.5,5.1,4.3,27.3,5,5,2,1996,2.55
VN_0375,Hanoi,8.0,235.9,6.0,4.3,26.2,4,5,3,2002,9.7
VN_0376,Big_Province,1.0,88.6,3.0,2.0,19.3,2,1,1,2021,1.33
VN_0377,Small_Province,0.25,146.7,3.0,7.0,4.0,1,3,1,2016,5.69
VN_0378,Hanoi,8.0,173.0,5.6,5.6,32.5,3,4,2,2007,7.92
VN_0379,Small_Province,0.25,61.0,5.0,4.3,16.5,3,1,1,1995,0.82
VN_0380,Big_Province,1.0,69.4,4.7,3.2,13.4,2,3,1,1991,1.66
VN_0381,Hanoi,8.0,163.7,5.7,3.6,22.4,5,5,4,2000,8.0
VN_0382,Big_Province,1.0,205.4,6.5,4.7,23.9,4,5,3,2003,3.45
VN_0383,Big_Province,1.0,117.2,7.2,5.9,8.2,3,4,2,2007,6.22
VN_0384,Small_Province,0.25,57.0,4.3,2.0,29.5,1,1,1,2016,0.39
VN_0385,Small_Province,0.25,238.9,5.8,2.0,10.9,5,5,5,2000,2.36
VN_0386,Small_Province,0.25,67.8,4.3,2.3,7.3,1,3,2,2012,1.18
VN_0387,Big_Province,1.0,74.8,5.9,4.8,14.8,3,1,1,1981,2.19
VN_0388,HCMC,8.5,105.0,7.8,5.5,25.8,3,1,1,2016,7.49
VN_0389,Small_Province,0.25,192.4,5.1,6.1,33.8,5,5,3,1998,1.44
VN_0390,Small_Province,0.25,135.5,5.8,2.1,28.5,2,4,2,2007,0.73
VN_0391,Small_Province,0.25,108.8,5.9,3.3,33.0,3,4,3,1994,0.81
VN_0392,Big_Province,1.0,111.5,3.5,4.9,5.8,3,1,1,1980,6.09
VN_0393,Big_Province,1.0,90.4,5.1,4.0,3.4,3,2,1,2022,6.37
VN_0394,Small_Province,0.25,116.9,3.0,3.6,20.0,2,1,1,2007,0.98
VN_0395,Big_Province,1.0,25.0,3.0,5.3,10.9,1,2,1,2014,1.3
VN_0396,Small_Province,0.25,76.3,5.6,3.1,29.2,2,3,1,2011,0.5
VN_0397,Small_Province,0.25,99.8,4.5,3.2,23.8,2,3,2,2007,0.81
VN_0398,Big_Province,1.0,49.7,4.9,3.3,34.0,1,1,1,1988,0.77
VN_0399,Small_Province,0.25,107.3,5.2,2.0,9.7,3,1,1,2003,1.01
VN_0400,Small_Province,0.25,79.8,3.2,2.0,17.5,2,1,1,1983,0.61
VN_0401,Hanoi,8.0,212.7,6.4,6.1,18.0,3,4,1,2024,13.95
VN_0402,Small_Province,0.25,194.2,4.1,3.9,9.1,2,4,3,2020,3.6
VN_0403,Big_Province,1.0,70.1,7.3,6.4,21.1,1,1,1,1982,1.89
VN_0404,Small_Province,0.25,82.0,3.0,2.0,16.1,4,1,1,2001,0.77
VN_0405,Big_Province,1.0,85.2,4.7,2.5,16.2,3,2,1,2019,1.81
VN_0406,Small_Province,0.25,70.6,3.0,4.2,13.3,2,2,1,2018,1.0
VN_0407,Big_Province,1.0,97.5,6.2,3.9,1.6,2,4,2,2004,9.04
VN_0408,Hanoi,8.0,60.5,4.1,3.5,18.8,2,1,1,2001,3.65
VN_0409,Small_Province,0.25,50.3,3.7,3.0,12.4,3,1,1,2013,0.74
VN_0410,Hanoi,8.0,120.7,7.0,7.4,1.0,2,4,2,1999,40.68
VN_0411,Big_Province,1.0,121.2,5.5,5.6,11.5,3,4,3,2015,4.19
VN_0412,Small_Province,0.25,59.2,5.6,2.3,10.5,2,3,1,2016,0.94
VN_0413,Small_Province,0.25,138.4,3.9,2.0,14.4,5,5,4,2018,1.15
VN_0414,Big_Province,1.0,64.5,3.0,3.1,5.5,3,3,3,2006,3.27
VN_0415,Big_Province,1.0,100.4,5.4,3.9,18.3,3,1,1,2011,2.14
VN_0416,Big_Province,1.0,133.3,5.0,3.1,24.5,2,5,4,2021,1.47
VN_0417,Big_Province,1.0,87.0,6.2,6.1,22.4,3,2,1,2008,1.91
VN_0418,Big_Province,1.0,111.0,5.2,4.2,28.3,2,4,2,2020,1.69
VN_0419,Big_Province,1.0,68.3,5.2,4.0,16.4,2,2,1,2011,2.09
VN_0420,Small_Province,0.25,80.2,3.0,3.4,18.6,3,1,1,2003,0.82
VN_0421,Small_Province,0.25,79.8,8.3,5.7,28.6,1,3,2,1982,0.74
VN_0422,Small_Province,0.25,60.9,4.4,5.7,15.5,2,1,1,2006,1.17
VN_0423,Hanoi,8.0,81.0,6.2,3.5,24.9,3,4,3,1988,3.8
VN_0424,Big_Province,1.0,40.8,3.0,3.2,15.8,2,1,1,2019,0.98
VN_0425,Hanoi,8.0,69.2,5.4,6.2,15.2,2,1,1,2002,6.76
VN_0426,Big_Province,1.0,76.7,3.0,2.0,26.8,4,1,1,1986,0.97
VN_0427,Big_Province,1.0,77.8,5.7,3.8,6.9,1,4,4,1996,3.42
VN_0428,Small_Province,0.25,78.4,4.3,4.9,12.5,3,1,1,2016,1.27
VN_0429,Big_Province,1.0,85.8,5.1,5.5,8.6,3,3,2,1986,4.99
VN_0430,Hanoi,8.0,112.4,6.6,4.7,13.2,4,5,5,2009,10.23
VN_0431,HCMC,8.5,136.9,3.4,2.0,8.8,2,3,1,1992,9.04
VN_0432,Small_Province,0.25,63.9,3.5,4.1,20.7,1,1,1,1997,0.64
VN_0433,Big_Province,1.0,48.5,5.4,5.8,28.1,3,1,1,2010,1.23
VN_0434,Hanoi,8.0,52.5,8.4,4.5,27.7,1,1,1,2001,3.28
VN_0435,Hanoi,8.0,69.3,4.6,2.0,13.4,1,5,3,1993,4.5
VN_0436,Small_Province,0.25,74.2,5.9,4.8,34.6,2,3,3,1997,0.66
VN_0437,Hanoi,8.0,60.2,4.5,4.3,21.2,2,1,1,2014,4.13
VN_0438,Small_Province,0.25,46.3,8.0,5.6,14.6,3,1,1,1996,0.99
VN_0439,Small_Province,0.25,70.4,3.0,3.3,29.4,2,2,1,1998,0.5
VN_0440,Hanoi,8.0,96.8,5.3,2.9,25.8,2,1,1,2010,4.34
VN_0441,Hanoi,8.0,119.1,3.0,2.0,26.5,3,1,1,2018,3.91
VN_0442,Small_Province,0.25,66.9,3.0,2.0,7.7,2,2,2,2015,0.96
VN_0443,Big_Province,1.0,71.9,5.4,4.1,16.9,2,3,2,1994,1.77
VN_0444,Big_Province,1.0,55.6,4.9,3.3,30.3,2,2,1,2008,1.11
VN_0445,Small_Province,0.25,87.1,4.5,2.0,18.1,1,2,1,2019,0.64
VN_0446,Small_Province,0.25,57.9,4.5,2.0,24.2,1,1,1,1995,0.41
VN_0447,Small_Province,0.25,117.8,11.0,7.5,21.0,4,3,3,2012,2.0
VN_0448,Small_Province,0.25,36.2,4.0,4.3,29.6,2,2,1,2004,0.34
VN_0449,Big_Province,1.0,73.9,5.8,6.2,10.7,2,1,1,1995,3.39
VN_0450,Hanoi,8.0,102.8,4.0,4.8,20.6,3,1,1,2009,5.06
VN_0451,Small_Province,0.25,97.0,5.7,3.0,5.2,1,2,1,2013,2.58
VN_0452,Big_Province,1.0,340.0,7.6,3.9,24.5,5,7,5,1981,4.22
VN_0453,Big_Province,1.0,105.3,4.5,4.1,25.9,3,2,2,2019,1.88
VN_0454,Small_Province,0.25,53.5,7.9,6.9,2.5,1,1,1,2023,4.43
VN_0455,Hanoi,8.0,84.3,7.1,5.9,24.0,2,3,2,2022,5.76
VN_0456,Big_Province,1.0,36.4,4.7,2.0,15.1,1,1,1,2017,0.77
VN_0457,Hanoi,8.0,84.9,3.0,2.0,5.2,1,1,1,1997,8.67
VN_0458,Big_Province,1.0,58.3,4.0,3.0,15.3,2,1,1,1984,1.26
VN_0459,Hanoi,8.0,139.8,10.5,8.6,7.6,2,4,4,2019,29.18
VN_0460,Hanoi,8.0,67.2,4.4,4.4,15.1,2,1,1,1985,6.55
VN_0461,Hanoi,8.0,83.4,7.0,5.4,14.1,3,2,2,1991,8.06
VN_0462,Big_Province,1.0,64.4,7.4,6.0,26.1,2,2,1,1991,1.75
VN_0463,Small_Province,0.25,211.0,6.9,5.3,27.3,3,5,2,1991,1.55
VN_0464,Big_Province,1.0,75.3,3.4,3.6,21.6,2,4,4,1988,1.12
VN_0465,Small_Province,0.25,221.1,3.0,2.7,1.8,3,6,2,2021,5.37
VN_0466,Big_Province,1.0,132.9,6.8,5.2,32.7,3,4,4,2001,2.01
VN_0467,Big_Province,1.0,112.5,3.9,2.5,24.3,2,2,2,1995,1.35
VN_0468,Small_Province,0.25,106.3,5.6,4.3,2.2,4,4,3,1983,4.58
VN_0469,HCMC,8.5,107.7,3.0,3.0,28.8,3,2,1,1982,3.48
VN_0470,Small_Province,0.25,33.7,3.9,3.3,7.8,1,1,1,1995,0.97
VN_0471,Hanoi,8.0,76.9,5.0,4.3,20.7,3,5,4,1993,4.89
VN_0472,Small_Province,0.25,134.9,6.1,6.6,16.9,3,3,2,2020,1.85
VN_0473,Hanoi,8.0,86.3,3.0,2.7,15.3,2,3,1,2017,5.27
VN_0474,Small_Province,0.25,43.8,6.7,4.0,31.3,1,1,1,1983,0.34
VN_0475,Big_Province,1.0,86.2,3.9,4.3,15.9,3,5,4,1981,1.53
VN_0476,Small_Province,0.25,207.3,3.4,2.0,3.6,5,4,3,1989,4.21
VN_0477,Hanoi,8.0,165.0,5.7,2.7,33.2,4,3,3,1990,4.75
VN_0478,Big_Province,1.0,85.7,5.1,4.3,32.3,3,1,1,2018,1.79
VN_0479,Small_Province,0.25,142.3,6.0,5.2,24.3,4,4,1,2005,1.28
VN_0480,Big_Province,1.0,73.6,7.3,3.6,16.9,2,1,1,2016,1.72
VN_0481,Big_Province,1.0,37.7,4.0,2.4,4.2,1,1,1,2005,2.91
VN_0482,Big_Province,1.0,55.7,4.4,2.4,27.9,3,1,1,1983,0.83
VN_0483,Big_Province,1.0,193.2,4.3,2.5,3.6,5,4,2,2005,10.13
VN_0484,Big_Province,1.0,77.1,6.4,6.2,3.3,2,1,1,2017,7.63
VN_0485,Big_Province,1.0,78.3,5.3,5.0,19.3,2,1,1,2007,2.0
VN_0486,Small_Province,0.25,76.1,4.1,3.1,6.4,3,2,1,1981,1.59
VN_0487,Hanoi,8.0,229.2,3.3,2.0,1.3,5,3,1,1981,25.2
VN_0488,Big_Province,1.0,199.4,8.9,4.7,15.4,4,6,5,1995,5.06
VN_0489,Small_Province,0.25,268.2,4.9,5.8,5.7,4,5,4,2002,6.35
VN_0490,Small_Province,0.25,81.7,3.9,3.8,6.5,2,3,3,2002,1.85
VN_0491,Big_Province,1.0,102.5,5.9,3.3,3.6,3,2,1,1992,5.68
VN_0492,Big_Province,1.0,41.4,3.0,3.3,8.0,2,1,1,2000,2.05
VN_0493,Big_Province,1.0,185.1,3.5,2.5,25.3,4,6,4,2018,1.96
VN_0494,HCMC,8.5,49.3,3.0,2.0,28.5,1,1,1,2004,1.73
VN_0495,Big_Province,1.0,98.6,6.5,5.5,16.4,3,1,1,2016,2.74
VN_0496,Big_Province,1.0,51.1,3.6,2.0,18.2,2,2,1,1992,0.93
VN_0497,Big_Province,1.0,65.9,10.0,7.0,2.1,2,1,1,1994,7.15
VN_0498,Hanoi,8.0,58.2,3.0,2.4,3.4,2,1,1,2007,10.91
VN_0499,Small_Province,0.25,65.3,3.1,2.0,9.8,1,1,1,1982,0.91
VN_0500,Small_Province,0.25,67.5,3.8,3.8,19.5,2,3,3,2002,0.61
VN_0501,Big_Province,1.0,67.2,5.2,6.7,26.1,3,1,1,1983,1.27
VN_0502,Big_Province,1.0,134.2,4.7,2.4,21.6,3,2,2,1982,1.78
VN_0503,Big_Province,1.0,50.9,5.7,2.0,14.3,3,1,1,2018,1.09
VN_0504,Small_Province,0.25,98.8,3.4,2.0,5.0,2,2,1,1987,2.21
VN_0505,Big_Province,1.0,162.6,3.4,2.3,27.5,4,3,2,2022,2.06
VN_0506,HCMC,8.5,68.4,3.0,2.0,13.4,3,3,2,2004,4.3
VN_0507,Small_Province,0.25,61.8,3.0,2.6,26.0,4,1,1,2020,0.46
VN_0508,Small_Province,0.25,78.8,4.0,3.2,18.4,2,1,1,1991,0.73
VN_0509,Small_Province,0.25,159.5,5.3,2.0,26.1,2,5,4,1984,0.62
VN_0510,Small_Province,0.25,97.5,4.0,2.0,31.8,3,4,3,2012,0.49
VN_0511,Big_Province,1.0,67.8,7.0,5.7,32.3,3,1,1,2025,1.48
VN_0512,Big_Province,1.0,112.6,7.5,5.9,19.2,2,2,2,2004,2.68
VN_0513,Small_Province,0.25,51.0,4.0,2.4,18.4,2,4,2,2004,0.49
VN_0514,Small_Province,0.25,124.3,3.0,2.0,10.0,4,1,1,2014,1.5
VN_0515,Hanoi,8.0,108.5,4.3,3.9,32.8,3,1,1,1994,4.64
VN_0516,Hanoi,8.0,75.8,3.8,4.8,16.6,2,1,1,2021,5.54
VN_0517,Big_Province,1.0,58.2,3.5,3.0,5.3,1,1,1,2005,3.44
VN_0518,Small_Province,0.25,56.8,3.4,2.0,15.7,2,1,1,1989,0.53
VN_0519,Small_Province,0.25,115.6,4.2,3.2,5.3,3,4,2,2003,2.92
VN_0520,HCMC,8.5,163.5,5.2,2.0,18.1,4,4,2,2014,6.3
VN_0521,Big_Province,1.0,64.3,3.6,4.3,20.1,2,1,1,2008,1.68
VN_0522,Big_Province,1.0,111.2,5.7,4.4,12.5,2,2,1,2017,2.66
VN_0523,Small_Province,0.25,31.1,5.0,2.0,3.4,2,1,1,1984,1.15
VN_0524,Small_Province,0.25,66.0,3.1,2.0,33.1,3,3,2,2003,0.4
VN_0525,Small_Province,0.25,87.1,7.3,6.2,27.3,3,1,1,1998,0.85
VN_0526,Big_Province,1.0,56.1,3.0,2.0,29.5,1,1,1,2025,0.83
VN_0527,Big_Province,1.0,55.4,3.0,2.0,13.5,2,2,1,2023,1.25
VN_0528,Big_Province,1.0,63.3,5.4,2.2,26.9,3,1,1,1988,0.86
VN_0529,Hanoi,8.0,102.4,3.7,3.6,17.5,1,1,1,2005,5.88
VN_0530,Small_Province,0.25,80.5,5.5,3.2,7.8,1,4,2,2004,1.82
VN_0531,Small_Province,0.25,28.9,3.0,2.0,5.2,3,1,1,2014,0.85
VN_0532,Small_Province,0.25,30.6,6.9,4.6,12.7,2,1,1,2015,0.76
VN_0533,Small_Province,0.25,65.3,6.0,6.0,5.7,2,1,1,1993,2.78
VN_0534,Big_Province,1.0,111.2,3.0,2.0,34.9,2,2,2,1985,1.1
VN_0535,Small_Province,0.25,22.4,3.0,4.9,2.7,2,1,1,2011,1.48
VN_0536,Small_Province,0.25,68.9,7.8,6.5,16.0,2,1,1,2005,1.08
VN_0537,Small_Province,0.25,68.0,3.5,3.1,16.4,1,1,1,1994,0.64
VN_0538,HCMC,8.5,177.1,4.6,3.2,11.2,5,4,3,2010,14.54
VN_0539,Big_Province,1.0,73.0,3.0,2.1,20.4,2,1,1,2016,1.05
VN_0540,HCMC,8.5,107.1,4.6,3.1,6.1,2,3,2,2017,13.42
VN_0541,Small_Province,0.25,94.9,4.7,3.1,27.7,2,2,1,2016,0.71
VN_0542,Big_Province,1.0,30.5,5.6,5.0,12.3,1,1,1,1998,1.52
VN_0543,HCMC,8.5,129.9,3.0,2.0,21.1,3,3,3,1993,4.12
VN_0544,Big_Province,1.0,98.5,3.0,2.0,25.3,3,3,1,2015,1.19
VN_0545,Big_Province,1.0,114.0,6.2,2.9,31.2,2,1,1,2016,1.33
VN_0546,Big_Province,1.0,600.0,12.9,12.7,29.4,5,7,5,1990,9.75
VN_0547,Hanoi,8.0,31.2,3.0,3.0,21.7,1,1,1,2006,2.13
VN_0548,Big_Province,1.0,209.5,8.4,6.8,14.2,4,4,3,1981,5.47
VN_0549,Big_Province,1.0,76.6,5.0,2.1,18.1,1,1,1,2001,1.07
VN_0550,Small_Province,0.25,102.1,7.2,6.3,27.1,2,3,3,1981,1.0
VN_0551,Big_Province,1.0,86.4,4.9,3.5,30.8,2,1,1,1999,1.27
VN_0552,Small_Province,0.25,71.5,3.0,2.6,4.5,2,1,1,2023,1.85
VN_0553,Big_Province,1.0,66.5,4.5,2.0,14.1,2,2,2,1996,1.33
VN_0554,Big_Province,1.0,104.3,7.1,5.6,27.4,2,1,1,1983,1.72
VN_0555,Small_Province,0.25,41.4,3.0,2.0,15.7,3,1,1,1993,0.46
VN_0556,Big_Province,1.0,128.7,4.8,2.5,12.3,5,4,3,1986,2.34
VN_0557,HCMC,8.5,71.8,4.5,4.5,15.0,2,2,2,1994,5.92
VN_0558,Hanoi,8.0,50.3,3.0,2.0,21.5,1,1,1,2009,2.17
VN_0559,Small_Province,0.25,70.6,7.8,6.7,35.0,3,2,2,1995,0.86
VN_0560,Big_Province,1.0,165.8,4.3,4.3,17.8,2,4,4,2019,3.18
VN_0561,Small_Province,0.25,67.7,5.7,3.0,8.1,2,2,2,1981,1.24
VN_0562,HCMC,8.5,105.8,5.1,2.6,6.5,2,4,3,1998,11.51
VN_0563,HCMC,8.5,61.4,7.0,4.9,2.4,1,1,1,1980,17.22
VN_0564,Hanoi,8.0,129.2,6.3,5.1,20.0,3,3,3,2010,6.61
VN_0565,Big_Province,1.0,124.6,5.0,3.6,19.5,2,2,1,1983,2.17
VN_0566,Big_Province,1.0,222.9,5.0,4.4,8.0,4,5,1,2006,7.49
VN_0567,Big_Province,1.0,81.0,6.4,7.4,24.6,2,2,1,2004,2.1
VN_0568,Big_Province,1.0,123.6,3.0,2.0,26.2,2,3,2,2001,1.21
VN_0569,Small_Province,0.25,92.9,6.3,2.1,9.8,2,3,1,2022,1.21
VN_0570,Big_Province,1.0,169.1,4.0,4.2,12.7,3,4,3,1989,3.57
VN_0571,Big_Province,1.0,61.7,7.0,7.8,34.7,3,1,1,2012,1.56
VN_0572,Small_Province,0.25,128.4,5.8,4.9,13.7,3,2,2,2023,1.69
VN_0573,Big_Province,1.0,80.2,6.1,2.9,26.9,3,2,2,2009,1.38
VN_0574,Big_Province,1.0,85.6,5.2,3.7,16.4,3,1,1,2009,2.33
VN_0575,Small_Province,0.25,92.6,3.0,2.0,28.0,3,3,1,1995,0.52
VN_0576,Small_Province,0.25,100.3,3.6,3.7,27.1,4,1,1,1988,0.76
VN_0577,HCMC,8.5,83.4,6.2,2.6,23.7,1,2,1,1996,3.62
VN_0578,Small_Province,0.25,98.5,5.5,3.6,30.1,2,2,1,2014,0.67
VN_0579,Big_Province,1.0,194.7,8.4,4.8,32.9,5,5,3,1994,3.11
VN_0580,HCMC,8.5,144.8,6.4,5.0,20.7,3,3,2,2007,9.6
VN_0581,Big_Province,1.0,136.6,3.9,2.4,9.1,1,2,2,1999,3.41
VN_0582,Small_Province,0.25,70.4,3.4,2.8,14.6,2,3,2,2012,0.8
VN_0583,Big_Province,1.0,56.7,4.9,3.7,26.8,2,1,1,2012,0.97
VN_0584,Big_Province,1.0,142.6,3.0,2.0,23.1,1,4,2,2015,1.4
VN_0585,Big_Province,1.0,137.0,8.6,7.4,7.0,4,1,1,1992,8.14
VN_0586,HCMC,8.5,184.7,7.0,5.2,2.7,3,4,2,1983,38.7
VN_0587,Hanoi,8.0,65.4,7.0,3.8,24.2,2,3,3,2002,3.78
VN_0588,HCMC,8.5,78.8,3.0,5.6,9.5,2,1,1,1987,10.41
VN_0589,HCMC,8.5,39.0,6.7,5.7,18.0,1,1,1,1992,4.02
VN_0590,HCMC,8.5,72.7,8.9,6.4,26.4,1,4,4,2003,3.93
VN_0591,HCMC,8.5,145.6,3.3,4.6,20.1,2,3,2,2019,7.59
VN_0592,Big_Province,1.0,70.0,6.2,7.4,3.8,3,2,2,2025,8.43
VN_0593,HCMC,8.5,121.8,5.4,3.9,7.3,3,3,2,2009,15.85
VN_0594,Big_Province,1.0,80.4,3.0,2.8,8.5,2,1,1,2009,3.17
VN_0595,Small_Province,0.25,104.0,6.1,3.1,9.8,2,2,2,2004,1.73
VN_0596,Big_Province,1.0,49.8,6.1,4.3,20.2,3,1,1,2012,1.38
VN_0597,Big_Province,1.0,92.3,4.0,2.7,18.1,3,1,1,1988,1.41
VN_0598,HCMC,8.5,19.8,6.3,5.0,7.9,2,2,1,2005,5.15
VN_0599,HCMC,8.5,80.5,3.0,2.7,3.3,3,3,3,2003,15.14
VN_0600,Hanoi,8.0,39.1,3.0,3.1,6.8,2,2,2,2012,5.58
VN_0601,HCMC,8.5,161.6,6.1,5.0,34.5,2,5,4,2018,5.93
VN_0602,Big_Province,1.0,130.5,5.6,2.4,16.9,3,4,4,2004,2.0
VN_0603,HCMC,8.5,111.7,4.0,2.0,30.5,2,2,2,2024,3.06
VN_0604,Hanoi,8.0,189.2,7.7,4.9,29.9,2,2,2,1994,8.52
VN_0605,HCMC,8.5,55.0,5.6,3.8,18.4,3,1,1,2020,3.97
VN_0606,Big_Province,1.0,211.9,8.0,7.6,25.0,3,4,2,2020,4.7
VN_0607,HCMC,8.5,141.0,5.4,2.3,7.6,4,4,4,1985,10.77
VN_0608,Big_Province,1.0,78.6,6.0,4.0,24.4,3,2,2,1999,1.35
VN_0609,Big_Province,1.0,156.0,5.0,5.2,10.3,4,1,1,2023,5.53
VN_0610,Big_Province,1.0,50.9,8.3,5.8,29.3,2,2,1,1995,1.29
VN_0611,Hanoi,8.0,58.6,3.2,3.1,3.8,1,3,2,2000,8.39
VN_0612,Small_Province,0.25,65.2,8.6,6.2,27.3,3,3,1,1994,0.79
VN_0613,Big_Province,1.0,67.9,4.9,4.0,4.4,2,1,1,2018,4.86
VN_0614,Hanoi,8.0,52.1,3.0,2.0,31.0,2,2,1,2021,1.91
VN_0615,Small_Province,0.25,163.0,8.4,7.3,11.3,3,2,1,1983,3.36
VN_0616,Small_Province,0.25,77.7,5.1,2.0,23.2,1,4,1,2003,0.45
VN_0617,Hanoi,8.0,105.5,6.8,4.5,17.6,3,2,1,1982,5.37
VN_0618,Big_Province,1.0,66.5,7.0,5.7,13.5,2,1,1,1980,2.35
VN_0619,Small_Province,0.25,35.6,5.0,4.6,22.9,1,1,1,2009,0.4
